Timestamp;Offset;Event;Path
2023-02-19 21:17:15.496330;141;"LOOKUP SENT";P2-P4
2023-02-19 21:17:15.496635;141;"LOOKUP SENT";P2-P3
2023-02-19 21:17:15.496921;141;"LOOKUP SENT";P2-P1
2023-02-19 21:17:15.552717;141;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:17:15.665953;141;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:16.017929;141;"LOOKUP SENT";P1-P4
2023-02-19 21:17:16.018452;141;"LOOKUP SENT";P1-P2
2023-02-19 21:17:16.018736;141;"LOOKUP SENT";P1-P3
2023-02-19 21:17:16.063287;141;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:16.118435;141;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:16.214268;141;"LOOKUP SENT";P3-P2
2023-02-19 21:17:16.214875;141;"LOOKUP SENT";P3-P4
2023-02-19 21:17:16.215299;141;"LOOKUP SENT";P3-P1
2023-02-19 21:17:16.227237;141;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:16.282811;141;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:16.295809;141;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:16.302630;141;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:17:16.318758;142;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:23.934224;149;"LOOKUP SENT";P4-P3
2023-02-19 21:17:23.934678;149;"LOOKUP SENT";P4-P1
2023-02-19 21:17:23.935005;149;"LOOKUP SENT";P4-P2
2023-02-19 21:17:24.027952;149;"LOOKUP SENT";P1-P4
2023-02-19 21:17:24.028836;149;"LOOKUP SENT";P1-P2
2023-02-19 21:17:24.029447;149;"LOOKUP SENT";P1-P3
2023-02-19 21:17:24.068031;149;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:24.114598;149;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:24.124521;149;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:24.210189;149;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:25.222095;150;"LOOKUP SENT";P3-P2
2023-02-19 21:17:25.222645;150;"LOOKUP SENT";P3-P4
2023-02-19 21:17:25.223033;150;"LOOKUP SENT";P3-P1
2023-02-19 21:17:25.316807;151;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:25.317115;151;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:17:25.324677;151;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:25.548482;151;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:28.511560;154;"LOOKUP SENT";P2-P4
2023-02-19 21:17:28.512601;154;"LOOKUP SENT";P2-P3
2023-02-19 21:17:28.513053;154;"LOOKUP SENT";P2-P1
2023-02-19 21:17:28.571626;154;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:17:28.628332;154;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:29.035284;154;"LOOKUP SENT";P1-P4
2023-02-19 21:17:29.038163;154;"LOOKUP SENT";P1-P2
2023-02-19 21:17:29.039197;154;"LOOKUP SENT";P1-P3
2023-02-19 21:17:29.100699;154;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:29.370510;155;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:30.076074;155;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:30.226100;155;"LOOKUP SENT";P3-P2
2023-02-19 21:17:30.226496;155;"LOOKUP SENT";P3-P4
2023-02-19 21:17:30.227433;155;"LOOKUP SENT";P3-P1
2023-02-19 21:17:30.298405;155;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:30.335246;156;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:17:30.436591;156;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:31.255629;156;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:33.937530;159;"LOOKUP SENT";P4-P3
2023-02-19 21:17:33.937840;159;"LOOKUP SENT";P4-P1
