Timestamp;Peer;Received;Source;Payload
2023-04-14 12:16:56.456000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467416456", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:57.502000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467417444", "Route": [], "Path": ["P3", "P2"]}
2023-04-14 12:17:01.387000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467421337, "HBresp": 1681467421365}
2023-04-14 12:17:01.430000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467421337, "HBresp": 1681467421370}
2023-04-14 12:17:01.450000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467421338, "HBresp": 1681467421396}
2023-04-14 12:17:04.510000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467424451", "Route": [], "Path": ["P3", "P2"]}
2023-04-14 12:17:06.466000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467426465", "Route": [], "Path": ["P2"]}
2023-04-14 12:17:08.572000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467425406, "HBresp": 0}
2023-04-14 12:17:09.624000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467429591, "HBresp": 0}
2023-04-14 12:17:09.742000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 346, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 615, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:17:11.748000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 346, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 615, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:17:11.748000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 346, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 615, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:17:11.748000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 4, "FLAG": 0, "RP": []}
2023-04-14 12:17:11.748000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467431379, "HBresp": 0}
2023-04-14 12:17:11.830000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 508, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 5, "FLAG": 1}
2023-04-14 12:17:13.834000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 508, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 5, "FLAG": 1}
